6.975000e-01	9.727489e+01	5.530183e-02	9.041273e+01	6.455280e-02
1.464380e+00	1.765206e+01	3.575901e-02	1.587920e+01	3.314684e-02
2.231250e+00	2.328440e+00	1.372299e-02	2.365370e+00	1.183892e-02
2.958000e+00	1.114240e+00	5.424471e-03	1.144340e+00	5.522520e-03
5.218500e+00	1.058080e+00	4.420860e-03	1.094440e+00	4.152161e-03
5.985380e+00	1.056280e+00	4.063059e-03	1.091560e+00	4.182025e-03
7.478740e+00	1.052240e+00	3.783943e-03	1.084990e+00	4.012328e-03
9.698810e+00	1.046020e+00	3.225523e-03	1.073340e+00	3.879633e-03
1.123268e+01	1.041540e+00	2.446857e-03	1.066030e+00	3.899587e-03
1.648005e+01	1.026410e+00	1.744483e-03	1.042270e+00	3.404262e-03
1.946704e+01	9.354800e-01	3.418187e-03	9.473900e-01	4.495788e-03
2.097015e+01	8.085200e-01	4.061691e-03	8.209700e-01	4.799317e-03
2.245403e+01	6.535400e-01	4.224321e-03	6.639600e-01	3.702312e-03
2.394750e+01	5.034800e-01	5.242730e-03	5.135500e-01	1.894583e-03
