6.975000e-01	6.014933e+01	3.751080e-02	5.832454e+01	3.299331e-02
1.464380e+00	1.638059e+01	2.737446e-02	1.481158e+01	2.968280e-02
2.231250e+00	2.250130e+00	1.250138e-02	2.259930e+00	9.100678e-03
2.958000e+00	1.054140e+00	2.084973e-03	1.057030e+00	1.922990e-03
5.218500e+00	1.004080e+00	6.442912e-04	1.015140e+00	1.026537e-03
5.985380e+00	1.004040e+00	6.669999e-04	1.015120e+00	1.163138e-03
7.478740e+00	1.004260e+00	8.382521e-04	1.015920e+00	1.293402e-03
9.698810e+00	1.005070e+00	9.129318e-04	1.016950e+00	1.108803e-03
1.123268e+01	1.005410e+00	1.007141e-03	1.017060e+00	1.223111e-03
1.648005e+01	1.002260e+00	9.628661e-04	1.011610e+00	1.735543e-03
1.946704e+01	9.162900e-01	2.198712e-03	9.235600e-01	3.517954e-03
2.097015e+01	7.916500e-01	3.367904e-03	7.999200e-01	3.982127e-03
2.245403e+01	6.389200e-01	4.112528e-03	6.459000e-01	2.939766e-03
2.394750e+01	4.908200e-01	5.598770e-03	4.984100e-01	2.140846e-03
